collection_date,collection_time,from_station_id,from_station_name,to_station_id,to_station_name,departure_date,arrival_date,departure_time,arrival_time,departure_timestamp,arrival_timestamp,duration_minutes,duration_str,transfers,departure_delay,arrival_delay,travel_delay,departure_platform,arrival_platform,capacity1st,capacity2nd,products,section_1_category,section_1_number,section_1_operator,section_1_from_id,section_1_from_name,section_1_departure_time,section_1_departure_timestamp,section_1_departure_delay,section_1_departure_platform,section_1_to_id,section_1_to_name,section_1_arrival_time,section_1_arrival_timestamp,section_1_arrival_delay,section_1_arrival_platform,section_1_delay_change,section_2_category,section_2_number,section_2_operator,section_2_from_id,section_2_from_name,section_2_departure_time,section_2_departure_timestamp,section_2_departure_delay,section_2_departure_platform,section_2_to_id,section_2_to_name,section_2_arrival_time,section_2_arrival_timestamp,section_2_arrival_delay,section_2_arrival_platform,section_2_delay_change,section_3_category,section_3_number,section_3_operator,section_3_from_id,section_3_from_name,section_3_departure_time,section_3_departure_timestamp,section_3_departure_delay,section_3_departure_platform,section_3_to_id,section_3_to_name,section_3_arrival_time,section_3_arrival_timestamp,section_3_arrival_delay,section_3_arrival_platform,section_3_delay_change,section_4_category,section_4_number,section_4_operator,section_4_from_id,section_4_from_name,section_4_departure_time,section_4_departure_timestamp,section_4_departure_delay,section_4_departure_platform,section_4_to_id,section_4_to_name,section_4_arrival_time,section_4_arrival_timestamp,section_4_arrival_delay,section_4_arrival_platform,section_4_delay_change,section_5_category,section_5_number,section_5_operator,section_5_from_id,section_5_from_name,section_5_departure_time,section_5_departure_timestamp,section_5_departure_delay,section_5_departure_platform,section_5_to_id,section_5_to_name,section_5_arrival_time,section_5_arrival_timestamp,section_5_arrival_delay,section_5_arrival_platform,section_5_delay_change,section_6_category,section_6_number,section_6_operator,section_6_from_id,section_6_from_name,section_6_departure_time,section_6_departure_timestamp,section_6_departure_delay,section_6_departure_platform,section_6_to_id,section_6_to_name,section_6_arrival_time,section_6_arrival_timestamp,section_6_arrival_delay,section_6_arrival_platform,section_6_delay_change,section_7_category,section_7_number,section_7_operator,section_7_from_id,section_7_from_name,section_7_departure_time,section_7_departure_timestamp,section_7_departure_delay,section_7_departure_platform,section_7_to_id,section_7_to_name,section_7_arrival_time,section_7_arrival_timestamp,section_7_arrival_delay,section_7_arrival_platform,section_7_delay_change,section_8_category,section_8_number,section_8_operator,section_8_from_id,section_8_from_name,section_8_departure_time,section_8_departure_timestamp,section_8_departure_delay,section_8_departure_platform,section_8_to_id,section_8_to_name,section_8_arrival_time,section_8_arrival_timestamp,section_8_arrival_delay,section_8_arrival_platform,section_8_delay_change
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,08:04:00,10:58:00,08:04:00,10:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,08:04:00,08:04:00,0,32,8501118,Renens VD,10:18:00,10:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,10:23:00,10:23:00,0.0,2,8501008,Genève,10:58:00,10:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,08:32:00,11:30:00,08:32:00,11:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,08:32:00,08:32:00,0,32,8501008,Genève,11:30:00,11:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,09:04:00,11:58:00,09:04:00,11:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,09:04:00,09:04:00,0,32,8501118,Renens VD,11:18:00,11:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,11:23:00,11:23:00,0.0,2,8501008,Genève,11:58:00,11:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,09:32:00,12:30:00,09:32:00,12:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,09:32:00,09:32:00,0,32,8501008,Genève,12:30:00,12:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,10:04:00,12:58:00,10:04:00,12:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,10:04:00,10:04:00,0,32,8501118,Renens VD,12:18:00,12:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,12:23:00,12:23:00,0.0,2,8501008,Genève,12:58:00,12:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,10:32:00,13:30:00,10:32:00,13:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,10:32:00,10:32:00,0,32,8501008,Genève,13:30:00,13:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,11:04:00,13:58:00,11:04:00,13:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,11:04:00,11:04:00,0,32,8501118,Renens VD,13:18:00,13:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,13:23:00,13:23:00,0.0,2,8501008,Genève,13:58:00,13:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,11:32:00,14:30:00,11:32:00,14:30:00,178,00d02:58:00,0,0,0,0,12,2,,,IC,IC,000900,SBB,8503000,Zürich HB,11:32:00,11:32:00,0,12,8501008,Genève,14:30:00,14:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,12:04:00,14:58:00,12:04:00,14:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,12:04:00,12:04:00,0,32,8501118,Renens VD,14:18:00,14:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,14:23:00,14:23:00,0.0,2,8501008,Genève,14:58:00,14:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:37,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,12:32:00,15:30:00,12:32:00,15:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,12:32:00,12:32:00,0,32,8501008,Genève,15:30:00,15:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,10:04:00,12:58:00,10:04:00,12:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,10:04:00,10:04:00,0,32,8501118,Renens VD,12:18:00,12:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,12:23:00,12:23:00,0.0,2,8501008,Genève,12:58:00,12:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,10:32:00,13:30:00,10:32:00,13:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,10:32:00,10:32:00,0,32,8501008,Genève,13:30:00,13:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,11:04:00,13:58:00,11:04:00,13:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,11:04:00,11:04:00,0,32,8501118,Renens VD,13:18:00,13:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,13:23:00,13:23:00,0.0,2,8501008,Genève,13:58:00,13:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,11:32:00,14:30:00,11:32:00,14:30:00,178,00d02:58:00,0,0,0,0,12,2,,,IC,IC,000900,SBB,8503000,Zürich HB,11:32:00,11:32:00,0,12,8501008,Genève,14:30:00,14:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,12:04:00,14:58:00,12:04:00,14:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,12:04:00,12:04:00,0,32,8501118,Renens VD,14:18:00,14:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,14:23:00,14:23:00,0.0,2,8501008,Genève,14:58:00,14:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,12:32:00,15:30:00,12:32:00,15:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,12:32:00,12:32:00,0,32,8501008,Genève,15:30:00,15:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,13:04:00,15:58:00,13:04:00,15:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,13:04:00,13:04:00,0,32,8501118,Renens VD,15:18:00,15:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,15:23:00,15:23:00,0.0,2,8501008,Genève,15:58:00,15:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,13:32:00,16:30:00,13:32:00,16:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,13:32:00,13:32:00,0,32,8501008,Genève,16:30:00,16:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,14:04:00,16:55:00,14:04:00,16:55:00,171,00d02:51:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,14:04:00,14:04:00,0,32,8501118,Renens VD,16:18:00,16:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,16:23:00,16:23:00,0.0,2,8501008,Genève,16:55:00,16:55:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:40,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,14:32:00,17:30:00,14:32:00,17:30:00,178,00d02:58:00,0,0,0,0,13,2,,,IC,IC,000902,SBB,8503000,Zürich HB,14:32:00,14:32:00,0,13,8501008,Genève,17:30:00,17:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:43,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,12:04:00,14:58:00,12:04:00,14:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,12:04:00,12:04:00,0,32,8501118,Renens VD,14:18:00,14:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,14:23:00,14:23:00,0.0,2,8501008,Genève,14:58:00,14:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:43,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,12:32:00,15:30:00,12:32:00,15:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,12:32:00,12:32:00,0,32,8501008,Genève,15:30:00,15:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:43,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,13:04:00,15:58:00,13:04:00,15:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,13:04:00,13:04:00,0,32,8501118,Renens VD,15:18:00,15:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,15:23:00,15:23:00,0.0,2,8501008,Genève,15:58:00,15:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:43,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,13:32:00,16:30:00,13:32:00,16:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,13:32:00,13:32:00,0,32,8501008,Genève,16:30:00,16:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:43,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,14:04:00,16:55:00,14:04:00,16:55:00,171,00d02:51:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,14:04:00,14:04:00,0,32,8501118,Renens VD,16:18:00,16:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,16:23:00,16:23:00,0.0,2,8501008,Genève,16:55:00,16:55:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:43,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,14:32:00,17:30:00,14:32:00,17:30:00,178,00d02:58:00,0,0,0,0,13,2,,,IC,IC,000902,SBB,8503000,Zürich HB,14:32:00,14:32:00,0,13,8501008,Genève,17:30:00,17:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:43,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,15:04:00,17:58:00,15:04:00,17:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,15:04:00,15:04:00,0,32,8501118,Renens VD,17:18:00,17:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,17:23:00,17:23:00,0.0,2,8501008,Genève,17:58:00,17:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:59:43,8503000,Zürich HB,8501008,Genève,2025-02-08,2025-02-08,15:32:00,18:30:00,15:32:00,18:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,15:32:00,15:32:00,0,32,8501008,Genève,18:30:00,18:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
