collection_date,collection_time,from_station_id,from_station_name,to_station_id,to_station_name,departure_date,arrival_date,departure_time,arrival_time,departure_timestamp,arrival_timestamp,duration_minutes,duration_str,transfers,departure_delay,arrival_delay,travel_delay,departure_platform,arrival_platform,capacity1st,capacity2nd,products,section_1_category,section_1_number,section_1_operator,section_1_from_id,section_1_from_name,section_1_departure_time,section_1_departure_timestamp,section_1_departure_delay,section_1_departure_platform,section_1_to_id,section_1_to_name,section_1_arrival_time,section_1_arrival_timestamp,section_1_arrival_delay,section_1_arrival_platform,section_1_delay_change,section_2_category,section_2_number,section_2_operator,section_2_from_id,section_2_from_name,section_2_departure_time,section_2_departure_timestamp,section_2_departure_delay,section_2_departure_platform,section_2_to_id,section_2_to_name,section_2_arrival_time,section_2_arrival_timestamp,section_2_arrival_delay,section_2_arrival_platform,section_2_delay_change,section_3_category,section_3_number,section_3_operator,section_3_from_id,section_3_from_name,section_3_departure_time,section_3_departure_timestamp,section_3_departure_delay,section_3_departure_platform,section_3_to_id,section_3_to_name,section_3_arrival_time,section_3_arrival_timestamp,section_3_arrival_delay,section_3_arrival_platform,section_3_delay_change,section_4_category,section_4_number,section_4_operator,section_4_from_id,section_4_from_name,section_4_departure_time,section_4_departure_timestamp,section_4_departure_delay,section_4_departure_platform,section_4_to_id,section_4_to_name,section_4_arrival_time,section_4_arrival_timestamp,section_4_arrival_delay,section_4_arrival_platform,section_4_delay_change
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,06:04:00,08:58:00,06:04:00,08:58:00,174,00d02:54:00,1,0,0,0,13,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,06:04:00,06:04:00,0,13,8501118,Renens VD,08:18:00,08:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,08:23:00,08:23:00,0.0,2,8501008,Genève,08:58:00,08:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,06:32:00,09:30:00,06:32:00,09:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,06:32:00,06:32:00,0,32,8501008,Genève,09:30:00,09:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,07:04:00,09:58:00,07:04:00,09:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,07:04:00,07:04:00,0,32,8501118,Renens VD,09:18:00,09:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,09:23:00,09:23:00,0.0,2,8501008,Genève,09:58:00,09:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,07:32:00,10:30:00,07:32:00,10:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,07:32:00,07:32:00,0,32,8501008,Genève,10:30:00,10:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,08:04:00,10:58:00,08:04:00,10:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,08:04:00,08:04:00,0,32,8501118,Renens VD,10:18:00,10:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,10:23:00,10:23:00,0.0,2,8501008,Genève,10:58:00,10:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,08:32:00,11:30:00,08:32:00,11:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,08:32:00,08:32:00,0,32,8501008,Genève,11:30:00,11:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,09:04:00,11:58:00,09:04:00,11:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,09:04:00,09:04:00,0,32,8501118,Renens VD,11:18:00,11:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,11:23:00,11:23:00,0.0,2,8501008,Genève,11:58:00,11:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,09:32:00,12:30:00,09:32:00,12:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,09:32:00,09:32:00,0,32,8501008,Genève,12:30:00,12:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,10:04:00,12:58:00,10:04:00,12:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,10:04:00,10:04:00,0,32,8501118,Renens VD,12:18:00,12:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,12:23:00,12:23:00,0.0,2,8501008,Genève,12:58:00,12:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:45,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,10:32:00,13:30:00,10:32:00,13:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,10:32:00,10:32:00,0,32,8501008,Genève,13:30:00,13:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:47,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,08:04:00,10:58:00,08:04:00,10:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,08:04:00,08:04:00,0,32,8501118,Renens VD,10:18:00,10:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,10:23:00,10:23:00,0.0,2,8501008,Genève,10:58:00,10:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:47,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,08:32:00,11:30:00,08:32:00,11:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,08:32:00,08:32:00,0,32,8501008,Genève,11:30:00,11:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:47,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,09:04:00,11:58:00,09:04:00,11:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,09:04:00,09:04:00,0,32,8501118,Renens VD,11:18:00,11:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,11:23:00,11:23:00,0.0,2,8501008,Genève,11:58:00,11:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:47,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,09:32:00,12:30:00,09:32:00,12:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,09:32:00,09:32:00,0,32,8501008,Genève,12:30:00,12:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:47,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,10:04:00,12:58:00,10:04:00,12:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,10:04:00,10:04:00,0,32,8501118,Renens VD,12:18:00,12:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,12:23:00,12:23:00,0.0,2,8501008,Genève,12:58:00,12:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:47,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,10:32:00,13:30:00,10:32:00,13:30:00,178,00d02:58:00,0,0,0,0,32,2,,,IC,IC,1,SBB,8503000,Zürich HB,10:32:00,10:32:00,0,32,8501008,Genève,13:30:00,13:30:00,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:53:47,8503000,Zürich HB,8501008,Genève,2025-02-02,2025-02-02,11:04:00,13:58:00,11:04:00,13:58:00,174,00d02:54:00,1,0,0,0,32,2,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,11:04:00,11:04:00,0,32,8501118,Renens VD,13:18:00,13:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,13:23:00,13:23:00,0.0,2,8501008,Genève,13:58:00,13:58:00,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
